Unnamed: 0,variable,file,level1,value1,level2,value2,level3,value3,level4,value4,level5,value5,code,size
46,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Hunting and Fishing Equipment,500.0,500,13918164000
47,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Lawnmowing Machinery and Other Yard Equipment,310.0,310,326084040
48,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,"Musical instruments, supplies, and accessories",460.0,460,252471920
49,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Non-powered Tools,330.0,330,454994760
50,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Electric Floor Cleaning Equip.,260.0,260,942417840
51,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Other Household Appliances,270.0,270,1012922280
52,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,"Other Sports, Recreation and Exercise Equipment",570.0,570,81952320
53,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Outboard Motors,530.0,530,761635440
54,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Photographic Equipment,300.0,300,16229637600
55,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Playground Equipment,560.0,560,909560960
56,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Portable Cooling and Heating Equipment,350.0,350,6383487600
57,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Power Tools,320.0,320,1194691840
58,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,"Satellite dishes, recievers, or accessories",670.0,670,97669920
59,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Sewing Machines,280.0,280,1296861440
60,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Small Electrical Kitchen Appliance,230.0,230,897455400
61,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Tricycles and Battery Powered Riders,550.0,550,2888857400
62,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Water Sports Equipment,520.0,520,171751840
63,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Window Air Conditioners,340.0,340,907766000
64,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Other Musical Instruments and Musical Accessories,900.0,460,252471920
65,MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Winter Sports Equipment,510.0,510,97826160
66,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Active sportswear,240.0,not,not,240,1077622080
67,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Active sportswear,240.0,not,not,240,1077622080
68,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,"Womens Coats, jackets, furs",100.0,not,not,100,26919852000
69,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,"Mens Coats, jackets, furs",100.0,not,not,100,26919852000
70,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Combined expense (any item in section / part),900.0,not,not,900,1644706800
71,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Combined expense (any item in section / part),900.0,not,not,900,1644706800
72,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,"Womens Pants, slacks, & jeans",150.0,not,not,150,17390557200
73,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,"Mens Pants, slacks, & jeans",150.0,not,not,150,17390557200
74,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Shorts and short sets,160.0,not,not,160,3463088640
75,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Shorts and short sets,160.0,not,not,160,3463088640
76,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Footwear(include athletic shoes not specifically purchased for sports related use),280.0,not,not,280,981634080
77,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Footwear(include athletic shoes not specifically purchased for sports related use),280.0,not,not,280,981634080
78,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,"Womens Combined pants/slacks/jeans and shirts/blouses/tops (150, 190)",275.0,not,not,275,923752500
79,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,"Mens Combined pants/slacks/jeans and shirts/blouses/tops (150, 190)",275.0,not,not,275,923752500
80,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,"Womens Shirts, blouses and tops",190.0,not,not,190,1184476720
81,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,"Mens Shirts, blouses and tops",190.0,not,not,190,1184476720
82,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Sweaters and sweater sets,140.0,not,not,140,2836293600
83,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Sweaters and sweater sets,140.0,not,not,140,2836293600
84,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Sport coats and tailored jackets,110.0,not,not,110,3342584520
85,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Sport coats and tailored jackets,110.0,not,not,110,3342584520
86,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Accessories,230.0,not,not,230,1127874000
87,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Accessories,230.0,not,not,230,1127874000
88,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Bathroom Linens,332.0,not,not,332,245762336
89,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Bathroom Linens,332.0,not,not,332,245762336
90,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Bedroom Linens,331.0,not,not,331,135766932
91,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Bedroom Linens,331.0,not,not,331,135766932
92,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Combined clothing (100-260),270.0,not,not,270,725492160
93,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Combined clothing (100-260),270.0,not,not,270,725492160
94,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Costumes,260.0,not,not,260,1549712320
95,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Costumes,260.0,not,not,260,1549712320
96,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Diapers,310.0,not,not,310,308799680
97,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Diapers,310.0,not,not,310,308799680
98,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Dresses,170.0,not,not,170,1495460080
99,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Dresses,170.0,not,not,170,1495460080
100,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,"Womens Footwear, including athletic footwear",280.0,not,not,280,981634080
101,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,"Mens Footwear, including athletic footwear",280.0,not,not,280,981634080
102,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Hosiery,210.0,not,not,210,1098777960
103,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Hosiery,210.0,not,not,210,1098777960
104,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Jewelry,380.0,not,not,380,352807200
105,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Jewelry,380.0,not,not,380,352807200
106,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Layettes,330.0,not,not,330,390487680
107,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Layettes,330.0,not,not,330,390487680
108,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Nightwear and loungewear,220.0,not,not,220,1689696800
109,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Nightwear and loungewear,220.0,not,not,220,1689696800
110,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,"Womens Pants, jeans, or shorts",150.0,not,not,150,17390557200
111,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,"Mens Pants, jeans, or shorts",150.0,not,not,150,17390557200
112,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,"Womens Shirts, sweaters, blouses, or tops",145.0,not,not,145,1029752300
113,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,"Mens Shirts, sweaters, blouses, or tops",145.0,not,not,145,1029752300
114,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Skirts,180.0,not,not,180,3017297520
115,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Skirts,180.0,not,not,180,3017297520
116,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,"Womens Sport coats, tailored jackets, or blazers",110.0,not,not,110,3342584520
117,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,"Mens Sport coats, tailored jackets, or blazers",110.0,not,not,110,3342584520
118,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Suits,120.0,not,not,120,7341893280
119,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Suits,120.0,not,not,120,7341893280
120,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Swimsuits or warm-up or ski suits,240.0,not,not,240,1077622080
121,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Swimsuits or warm-up or ski suits,240.0,not,not,240,1077622080
122,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Undergarments,200.0,not,not,200,24445533600
123,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Undergarments,200.0,not,not,200,24445533600
124,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Uniforms (for which not reimbursed),250.0,not,not,250,10048743000
125,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Uniforms (for which not reimbursed),250.0,not,not,250,10048743000
126,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Vests,130.0,not,not,130,4150300440
127,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Vests,130.0,not,not,130,4150300440
128,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Watches,370.0,not,not,370,725749080
129,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Watches,370.0,not,not,370,725749080
130,CLOTHYA,CLA,Property,494,Utilities and Services on Property,42,Combined expense (any item in section / part),900.0,not,not,not,not,900,1644706800
131,CLOTHYA,CLA,Health Care,3,Payments for Medical Expenses,50,Combined expense (any item in section / part),900.0,not,not,not,not,900,1644706800
132,CLOTHYA,CLA,Health Care,3,Reimbursements for Medical Expenses,50,Combined expense (any item in section / part),900.0,not,not,not,not,900,1644706800
133,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Layettes,330.0,not,not,not,not,330,390487680
134,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Layettes,330.0,not,not,not,not,330,390487680
135,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Bathroom Linens,201.0,not,not,not,not,332,245762336
136,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Bedroom Linens,200.0,not,not,not,not,331,135766932
137,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Jewelry,380.0,not,not,not,not,380,352807200
138,CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Watches,370.0,not,not,not,not,370,725749080
139,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Bathroom Linens,332.0,not,not,201,0
140,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Bathroom Linens,332.0,not,not,201,0
141,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Bedroom Linens,331.0,not,not,200,0
142,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Bedroom Linens,331.0,not,not,200,0
143,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Jewelry,380.0,not,not,380,0
144,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Jewelry,380.0,not,not,380,0
145,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Layettes,330.0,not,not,330,0
146,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Layettes,330.0,not,not,330,0
147,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Watches,370.0,not,not,370,0
148,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Watches,370.0,not,not,370,0
149,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Layettes,330.0,not,not,not,not,330,0
150,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Layettes,330.0,not,not,not,not,330,0
151,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Combined expenses (290-340),900.0,not,not,not,not,900,0
152,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Combined expenses (290-340),900.0,not,not,not,not,900,0
153,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Bathroom Linens,201.0,not,not,not,not,201,0
154,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Bedroom Linens,200.0,not,not,not,not,200,0
155,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,"Hairpieces, wigs or toupees",390.0,not,not,not,not,390,0
156,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Infants accessories,340.0,not,not,not,not,340,0
157,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,"Infants coats, jackets or snowsuits",290.0,not,not,not,not,290,0
158,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Infants dresses and outerwear,300.0,not,not,not,not,300,0
159,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Infants sleeping garment,320.0,not,not,not,not,320,0
160,CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,"Infants underwear and diapers, including disposable",310.0,not,not,not,not,310,0
