variable,file,level1,value1,level2,value2,level3,value3,level4,value4,level5,value5,code,size
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Color televisions, consoles and combinations of TV, large screen color TV projection equipment and other items",370.0,370,455051160
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Color televisions, portable and table models",360.0,360,619164000
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Typewriters and other office machines for non-business use,620.0,620,281276640
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Satellite dishes,670.0,670,97669920
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"VCR, Video Camera, Video Disc Player, Camcorder",390.0,390,379390440
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Computer software and accessories for non-business use.,650.0,650,4640503400
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Other office machines including typewriters and calculators,620.0,620,281276640
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Video and computer game hardware, software, Gameboys, and accessories",700.0,700,7856424800
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Digital book readers, such as the Amazon Kindle and the Nook",655.0,655,62361240
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Personal Digital Assistants or PDAs,665.0,665,126057400
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Radio, all types",400.0,400,12919377600
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Sound components, component systems and compact disc sound systems",430.0,430,521794680
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Tape recorders and players,420.0,420,489155520
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Telephone answering devices,610.0,610,262544000
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Video games,710.0,710,0
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Computer accessories,645.0,645,53493720
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Electric Personal Care Appliances,240.0,240,1582124160
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Handheld personal music players,395.0,395,161422280
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Other office machines including fax machines and calculators,620.0,620,281276640
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Other sound and video equipment, including accessories",440.0,440,305307200
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Portable memory, such as flash drives, memory cards, and recordable discs and tapes",750.0,750,2778543000
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Stereos, radios, speakers, and sound components, including those installed in vehicles",425.0,425,644946000
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Telephones and accessories,660.0,660,462564960
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,"Televisions, all types including combinations of TVs with DVD/video players",365.0,365,95517580
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,Office and Electronics,19.0,Digital book readers or tablets,655.0,655,62361240
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Pianos and Organs,450.0,450,4500437400
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Smoke Detectors,250.0,250,7381556000
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Bicycles or bicycle equipment,540.0,540,713536560
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Camping Equipment,490.0,490,274137360
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,"General Sports Equipment (exclude athletic shoes for sports related use, such as football, baseball, soccer, or bowling)",470.0,470,333914320
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Health and Exercise Equipment,480.0,480,960576000
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Hunting and Fishing Equipment,500.0,500,13918164000
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Lawnmowing Machinery and Other Yard Equipment,310.0,310,326084040
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,"Musical instruments, supplies, and accessories",460.0,460,252471920
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Non-powered Tools,330.0,330,454994760
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Electric Floor Cleaning Equip.,260.0,260,942417840
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Other Household Appliances,270.0,270,1012922280
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,"Other Sports, Recreation and Exercise Equipment",570.0,570,81952320
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Outboard Motors,530.0,530,761635440
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Photographic Equipment,300.0,300,16229637600
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Playground Equipment,560.0,560,909560960
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Portable Cooling and Heating Equipment,350.0,350,6383487600
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Power Tools,320.0,320,1194691840
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,"Satellite dishes, recievers, or accessories",670.0,670,97669920
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Sewing Machines,280.0,280,1296861440
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Small Electrical Kitchen Appliance,230.0,230,897455400
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Tricycles and Battery Powered Riders,550.0,550,2888857400
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Water Sports Equipment,520.0,520,171751840
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Window Air Conditioners,340.0,340,907766000
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Other Musical Instruments and Musical Accessories,900.0,460,252471920
MINAPPLY,APB,Property,494,"Appliances, Devices, and Equipment",2,Minor Appliances and Electronics,2.0,"Sport, Musical, and Maintainence Equipement",25.0,Winter Sports Equipment,510.0,510,97826160
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Active sportswear,240.0,not,not,240,1077622080
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Active sportswear,240.0,not,not,240,1077622080
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,"Womens Coats, jackets, furs",100.0,not,not,100,26919852000
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,"Mens Coats, jackets, furs",100.0,not,not,100,26919852000
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Combined expense (any item in section / part),900.0,not,not,900,1644706800
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Combined expense (any item in section / part),900.0,not,not,900,1644706800
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,"Womens Pants, slacks, & jeans",150.0,not,not,150,17390557200
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,"Mens Pants, slacks, & jeans",150.0,not,not,150,17390557200
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Shorts and short sets,160.0,not,not,160,3463088640
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Shorts and short sets,160.0,not,not,160,3463088640
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Footwear(include athletic shoes not specifically purchased for sports related use),280.0,not,not,280,981634080
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Footwear(include athletic shoes not specifically purchased for sports related use),280.0,not,not,280,981634080
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,"Womens Combined pants/slacks/jeans and shirts/blouses/tops (150, 190)",275.0,not,not,275,923752500
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,"Mens Combined pants/slacks/jeans and shirts/blouses/tops (150, 190)",275.0,not,not,275,923752500
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,"Womens Shirts, blouses and tops",190.0,not,not,190,1184476720
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,"Mens Shirts, blouses and tops",190.0,not,not,190,1184476720
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Sweaters and sweater sets,140.0,not,not,140,2836293600
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Sweaters and sweater sets,140.0,not,not,140,2836293600
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Sport coats and tailored jackets,110.0,not,not,110,3342584520
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Sport coats and tailored jackets,110.0,not,not,110,3342584520
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Accessories,230.0,not,not,230,1127874000
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Accessories,230.0,not,not,230,1127874000
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Bathroom Linens,332.0,not,not,332,245762336
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Bathroom Linens,332.0,not,not,332,245762336
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Bedroom Linens,331.0,not,not,331,135766932
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Bedroom Linens,331.0,not,not,331,135766932
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Combined clothing (100-260),270.0,not,not,270,725492160
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Combined clothing (100-260),270.0,not,not,270,725492160
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Costumes,260.0,not,not,260,1549712320
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Costumes,260.0,not,not,260,1549712320
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Diapers,310.0,not,not,310,308799680
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Diapers,310.0,not,not,310,308799680
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Dresses,170.0,not,not,170,1495460080
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Dresses,170.0,not,not,170,1495460080
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,"Womens Footwear, including athletic footwear",280.0,not,not,280,981634080
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,"Mens Footwear, including athletic footwear",280.0,not,not,280,981634080
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Hosiery,210.0,not,not,210,1098777960
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Hosiery,210.0,not,not,210,1098777960
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Jewelry,380.0,not,not,380,352807200
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Jewelry,380.0,not,not,380,352807200
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Layettes,330.0,not,not,330,390487680
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Layettes,330.0,not,not,330,390487680
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Nightwear and loungewear,220.0,not,not,220,1689696800
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Nightwear and loungewear,220.0,not,not,220,1689696800
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,"Womens Pants, jeans, or shorts",150.0,not,not,150,17390557200
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,"Mens Pants, jeans, or shorts",150.0,not,not,150,17390557200
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,"Womens Shirts, sweaters, blouses, or tops",145.0,not,not,145,1029752300
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,"Mens Shirts, sweaters, blouses, or tops",145.0,not,not,145,1029752300
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Skirts,180.0,not,not,180,3017297520
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Skirts,180.0,not,not,180,3017297520
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,"Womens Sport coats, tailored jackets, or blazers",110.0,not,not,110,3342584520
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,"Mens Sport coats, tailored jackets, or blazers",110.0,not,not,110,3342584520
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Suits,120.0,not,not,120,7341893280
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Suits,120.0,not,not,120,7341893280
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Swimsuits or warm-up or ski suits,240.0,not,not,240,1077622080
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Swimsuits or warm-up or ski suits,240.0,not,not,240,1077622080
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Undergarments,200.0,not,not,200,24445533600
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Undergarments,200.0,not,not,200,24445533600
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Uniforms (for which not reimbursed),250.0,not,not,250,10048743000
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Uniforms (for which not reimbursed),250.0,not,not,250,10048743000
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Vests,130.0,not,not,130,4150300440
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Vests,130.0,not,not,130,4150300440
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Watches,370.0,not,not,370,725749080
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Watches,370.0,not,not,370,725749080
CLOTHYA,CLA,Property,494,Utilities and Services on Property,42,Combined expense (any item in section / part),900.0,not,not,not,not,900,1644706800
CLOTHYA,CLA,Health Care,3,Payments for Medical Expenses,50,Combined expense (any item in section / part),900.0,not,not,not,not,900,1644706800
CLOTHYA,CLA,Health Care,3,Reimbursements for Medical Expenses,50,Combined expense (any item in section / part),900.0,not,not,not,not,900,1644706800
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Layettes,330.0,not,not,not,not,330,390487680
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Layettes,330.0,not,not,not,not,330,390487680
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Bathroom Linens,201.0,not,not,not,not,332,245762336
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Bedroom Linens,200.0,not,not,not,not,331,135766932
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Jewelry,380.0,not,not,not,not,380,352807200
CLOTHYA,CLA,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Watches,370.0,not,not,not,not,370,725749080
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Bathroom Linens,332.0,not,not,201,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Bathroom Linens,332.0,not,not,201,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Bedroom Linens,331.0,not,not,200,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Bedroom Linens,331.0,not,not,200,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Jewelry,380.0,not,not,380,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Jewelry,380.0,not,not,380,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Layettes,330.0,not,not,330,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Layettes,330.0,not,not,330,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Womens Clothing,34.0,Womens Watches,370.0,not,not,370,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Clothing and Fabrics,2,Mens Clothing,34.0,Mens Watches,370.0,not,not,370,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Layettes,330.0,not,not,not,not,330,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Layettes,330.0,not,not,not,not,330,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Combined expenses (290-340),900.0,not,not,not,not,900,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Combined expenses (290-340),900.0,not,not,not,not,900,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Bathroom Linens,201.0,not,not,not,not,201,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Bedroom Linens,200.0,not,not,not,not,200,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,"Hairpieces, wigs or toupees",390.0,not,not,not,not,390,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Infants accessories,340.0,not,not,not,not,340,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,"Infants coats, jackets or snowsuits",290.0,not,not,not,not,290,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Infants dresses and outerwear,300.0,not,not,not,not,300,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Infants sleeping garment,320.0,not,not,not,not,320,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,"Infants underwear and diapers, including disposable",310.0,not,not,not,not,310,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Jewelry,380.0,not,not,not,not,380,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Watches,370.0,not,not,not,not,370,0
CLOTHXA,CLB,"Clothing, Fabric, and Acc",4,Infants Clothing and Hair Pieces,15,Combined clothing for infants (290-340),360.0,not,not,not,not,360,0
SEWINGY,CLC,"Clothing, Fabric, and Acc",4,Sewing Materials,5,"Sewing material for slipcovers, curtains, etc., and other home handiwork",400.0,not,not,not,not,400,0
